query,time,httpCalls,serverTime,overhead,completeness,soundness,errors
query_10174,1.747,13,130.93434369230766,0.28379146869365984,1.00,1.00,0
query_10175,3.815,17,130.57105976470592,0.1617740182315602,1.00,1.00,0
query_10176,0.075,1,66.70096000000001,0.1614093780517578,1.00,1.00,0
query_10177,0.085,1,74.58584000000002,0.10323524475097656,1.00,1.00,0
query_10179,0.078,1,68.49583200000004,0.1385211944580078,1.00,1.00,0
query_1017,0.099,1,83.89409600000002,0.19788742065429688,1.00,1.00,0
query_10180,0.483,3,112.60155200000004,0.12509028116861978,1.00,1.00,0
query_10181,0.105,1,84.68704000000002,0.21719932556152344,1.00,1.00,0
query_10182,0.315,2,119.98742399999998,0.16701221466064453,1.00,1.00,0
query_10183,0.126,1,99.450784,0.19073486328125,1.00,1.00,0
query_10184,0.079,1,67.06964000000005,0.1735687255859375,1.00,1.00,0
query_10185,0.104,1,95.066948,0.1327991485595703,1.00,1.00,0
query_10186,0.127,1,94.72800000000001,0.13709068298339844,1.00,1.00,0
query_10187,0.757,4,130.89596599999993,0.14334917068481445,1.00,1.00,0
query_10188,0.377,3,116.87995866666661,0.40594736735026044,1.00,1.00,0
query_1018,1.239,9,116.38804488888887,0.36944283379448783,1.00,1.00,0
query_10190,0.116,1,92.20042000000001,0.19240379333496094,1.00,1.00,0
query_10191,3.314,29,112.49066951724137,0.1354053102690598,1.00,1.00,0
query_10192,0.073,1,64.60898399999999,0.09417533874511719,1.00,1.00,0
query_10193,0.076,1,65.37256400000001,0.2732276916503906,1.00,1.00,0
query_10195,0.234,2,111.25612199999999,0.3966093063354492,1.00,1.00,0
query_10196,0.28,2,124.32134200000002,0.22673606872558594,1.00,1.00,0
query_10199,0.077,1,68.09314000000006,0.21767616271972656,1.00,1.00,0
query_1019,1.065,9,115.15754133333338,0.227000978257921,1.00,1.00,0
